Longitude,Latitude,Cloud_Cover_Percentage,Diurnal_Temp_Range,Frost_Days,Evapotranspiration,Precipitation_Amount,Mean_Temp,Vapor_Pressure,Wet_Days_Count,elevation,Buffalo_Population,Cattle_Population,lumpy
74.593919,55.048349,47.0,8.4,31.0,0.1,5.1,-22.2,0.9,0.8233646768844188,154,229.9346524,0.001855764,1
80.99361,43.54425,43.6,13.3,31.0,0.4,11.1,-12.3,1.6,0.6545409073918806,183,165.8319872,0.0,1
36.4821,35.3084,69.9,6.6,3.73,1.6,119.1,9.2,7.9,1.36566072591154,190,601.3213745,0.0,1
46.090064,50.729202,75.5,6.3,30.68,0.2,37.9,-8.5,2.9,1.2889590554161132,148,234.2697435,0.00451319,1
46.4737,50.634,75.5,6.3,30.68,0.2,37.9,-8.5,2.9,1.2889590554161132,148,234.2697435,0.00451319,1
35.14742,32.5347,57.2,8.1,0.15,1.7,114.1,13.2,11.0,1.333963970825012,167,1945.913549,0.0,1
35.386941,32.83736,57.2,8.1,0.15,1.7,114.1,13.2,11.0,1.333963970825012,167,1945.913549,0.0,1
35.60182,32.68543,56.2,8.2,1.21,1.6,87.2,11.8,10.0,1.2934840187421115,159,558.6841025,0.0,1
35.52139,32.84946,56.2,8.2,1.21,1.6,87.2,11.8,10.0,1.2934840187421115,159,558.6841025,0.0,1
35.59485,32.96377,56.2,8.2,1.21,1.6,87.2,11.8,10.0,1.2934840187421115,159,558.6841025,0.0,1
35.10078,32.88721,57.2,8.1,0.15,1.7,114.1,13.2,11.0,1.333963970825012,167,1945.913549,0.0,1
35.63843,32.75435,56.2,8.2,1.21,1.6,87.2,11.8,10.0,1.2934840187421115,159,558.6841025,0.0,1
35.6,32.8,56.2,8.2,1.21,1.6,87.2,11.8,10.0,1.2934840187421115,159,558.6841025,0.0,1
35.571879,32.905111,56.2,8.2,1.21,1.6,87.2,11.8,10.0,1.2934840187421115,159,558.6841025,0.0,1
35.6,32.8,56.2,8.2,1.21,1.6,87.2,11.8,10.0,1.2934840187421115,159,558.6841025,0.0,1
51.97163,56.704273,66.1,6.2,31.0,0.1,48.0,-13.7,1.9,1.4127594624812998,155,287.8432979,0.000276697,1
52.057739,53.277093,65.5,7.3,31.0,0.2,37.3,-13.4,1.8,1.345536783981457,159,313.0785092,0.001298,1
71.765426,54.303234,47.5,8.4,31.0,0.0,4.5,-21.0,1.2,0.8057498126412572,153,273.1004233,0.014103236,1
72.288125,55.608657,49.8,8.3,31.0,0.0,4.5,-21.8,1.0,0.9188064262656643,153,191.1906738,0.000414864,1
48.42049,53.06498,71.9,6.3,31.0,0.1,46.4,-11.6,2.3,1.376923698144468,154,191.9188095,0.000202869,1
49.0166,53.2418,71.9,6.2,31.0,0.1,45.1,-11.9,2.2,1.382327914456134,151,0.0,0.001142567,1
50.769,53.569,67.2,6.3,31.0,0.1,47.0,-12.9,2.0,1.3807986217499035,144,224.6525478,0.001929675,1
43.47123,41.275959,65.3,10.1,31.0,0.4,35.8,-9.9,2.2,1.1934911850578105,200,693.2585781,0.018679905,1
48.682356,53.31121,71.9,6.3,31.0,0.1,45.3,-11.4,2.3,1.378223647869541,160,541.0955888,0.090783198,1
